,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ANA,3,3,3,4,3,3,3,4,3,4,2,4,3,4,4,1,3,3,4,2,2,4,3,3,4,3
ARI,1,4,3,3,3,3,3,4,4,4,2,3,3,3,4,1,3,3,4,3,4,3,4,4,3,3
BOS,3,2,3,4,4,2,4,4,4,3,3,4,3,4,3,2,3,3,1,3,4,3,3,3,4,3
BUF,2,2,4,4,3,4,2,4,2,3,3,3,3,4,3,2,4,4,4,2,4,3,4,3,3,3
CAR,2,3,3,3,3,3,4,4,3,4,2,3,4,3,4,1,3,2,2,3,4,4,4,3,4,4
CBJ,2,2,3,3,3,4,3,4,2,3,3,3,4,3,4,2,3,4,3,2,4,4,3,3,4,4
CGY,3,4,3,4,2,5,4,3,3,3,2,3,4,3,4,2,3,2,2,4,3,3,3,4,3,3
CHI,3,4,2,4,3,4,3,4,3,4,2,4,3,3,3,2,3,3,2,3,3,3,4,4,3,3
COL,2,3,2,4,3,4,2,3,4,3,3,4,2,2,4,1,3,4,4,3,4,4,3,4,3,4
DAL,2,3,3,4,4,4,3,3,4,3,2,3,3,4,3,2,3,4,3,2,4,2,4,3,4,3
DET,3,3,4,3,3,3,3,4,3,4,2,3,3,4,3,2,3,4,3,1,3,4,4,3,4,3
EDM,3,3,3,4,3,4,3,4,4,3,2,2,4,4,3,2,4,1,3,4,2,3,4,3,3,4
FLA,2,3,4,4,2,4,3,4,3,3,3,3,4,3,4,1,2,2,4,3,3,3,4,4,4,3
LAK,2,3,4,3,4,4,2,3,2,4,3,3,4,3,3,2,4,2,3,4,3,3,4,2,4,4
MIN,2,4,3,2,3,4,3,3,3,3,3,3,3,3,4,2,3,4,3,2,3,4,4,4,4,3
MTL,2,4,3,3,4,3,3,3,4,2,3,3,4,4,3,2,4,4,1,4,3,3,3,3,4,3
NJD,2,3,3,3,3,4,3,3,4,3,3,4,4,3,3,2,4,1,4,3,3,3,4,4,2,4
NSH,2,3,3,3,3,4,3,3,3,4,2,3,4,3,4,2,3,4,2,4,3,4,3,3,4,3
NYI,3,3,3,4,3,1,4,3,3,4,2,3,2,4,3,2,4,3,4,3,3,4,3,4,3,4
NYR,3,3,3,4,3,4,3,3,4,4,2,3,3,2,4,1,3,4,2,4,4,4,2,4,3,3
OTT,3,2,3,3,4,3,4,4,3,3,2,3,2,2,4,2,3,3,4,4,3,3,4,3,4,4
PHI,2,4,4,3,3,3,4,4,4,3,2,3,3,4,2,2,4,2,3,2,3,4,3,4,4,3
PIT,3,3,3,3,3,4,3,4,3,3,3,3,1,4,3,2,3,3,4,2,4,4,3,4,3,4
SJS,3,3,3,3,3,4,3,3,3,4,2,3,3,4,4,2,3,4,3,1,4,3,4,3,4,3
STL,3,3,3,4,3,3,4,2,4,4,2,3,2,4,3,2,4,3,4,1,3,4,3,4,3,4
TBL,2,3,4,4,3,4,3,4,2,3,3,3,4,3,3,2,3,3,2,3,4,3,3,4,3,4
TOR,2,3,4,3,3,3,3,3,3,4,2,3,3,2,4,2,4,3,4,3,3,3,4,3,4,4
VAN,2,4,3,4,3,3,3,3,4,3,3,4,3,3,3,2,2,4,4,1,4,4,2,4,3,4
WPG,3,2,4,4,4,4,3,4,4,2,2,3,4,4,3,2,3,3,4,1,4,3,3,4,2,3
WSH,2,3,3,3,3,4,3,3,3,3,2,4,4,4,3,2,4,3,2,3,4,3,3,3,4,4
