Ryan Ellis,BUC,D,8475176
Nazem Kadri,BUC,C,8475172
Mats Zuccarello,REB,R,8475692
Nick Leddy,RAM,D,8475181
T.J. Oshie,RAM,R,8471698
Ben Bishop,PAC,G,8471750
Tuukka Rask,BUC,G,8471695
James Reimer,REB,G,8473503
Thomas Greiss,BUC,G,8471306
Claude Giroux,PAC,L,8473512
Jordan Eberle,SUN,R,8474586
Anze Kopitar,SUN,C,8471685
Alex Ovechkin,RAM,L,8471214
Dustin Byfuglien,SUN,D,8470834
Jakub Voracek,REB,R,8474161
Ryan Suter,REB,D,8470600
Keith Yandle,BUC,D,8471735
Roman Josi,RAM,D,8474600
Jaden Schwartz,RAM,L,8475768
Brian Elliott,RAM,G,8470880
Marc-Andre Fleury,RAM,G,8470594
Henrik Lundqvist,BUC,G,8468685
Steven Stamkos,PAC,C,8474564
Phil Kessel,PAC,R,8473548
James Neal,PAC,R,8471707
John Tavares,SUN,C,8475166
Erik Karlsson,PAC,D,8474578
Corey Perry,PAC,R,8470621
Ryan Getzlaf,PAC,C,8470612
David Perron,PAC,R,8474102
Kris Letang,PAC,D,8471724
Sidney Crosby,PAC,C,8471675
P.K. Subban,PAC,D,8474056
John Carlson,PAC,D,8474590
Matt Duchene,PAC,C,8475168
Ryan Johansen,SUN,C,8475793
Cam Atkinson,PAC,R,8474715
Mattias Ekholm,PAC,D,8475218
Sergei Bobrovsky,REB,G,8475683
Carey Price,PAC,G,8471679
Semyon Varlamov,PAC,G,8473575
Anders Nilsson,PAC,G,8475195
Evgeni Malkin,RAM,C,8471215
Patrice Bergeron,RAM,C,8470638
Ryan O'Reilly,RAM,C,8475158
Gabriel Landeskog,RAM,L,8476455
Jeff Skinner,RAM,L,8475784
Patric Hornqvist,BUC,R,8471887
Mark Scheifele,RAM,C,8476460
Brandon Saad,BUC,L,8476438
Kyle Palmieri,RAM,R,8475151
Craig Anderson,PAC,G,8467950
Corey Crawford,RAM,G,8470645
Devan Dubnyk,RAM,G,8471227
Calvin Pickard,PAC,G,8475717
Eric Staal,REB,C,8470595
Zach Parise,REB,L,8470610
Tyler Seguin,REB,C,8475794
Patrick Kane,REB,R,8474141
Logan Couture,REB,C,8474053
Blake Wheeler,REB,R,8471218
Jamie Benn,REB,L,8473994
Jonathan Toews,REB,C,8473604
Taylor Hall,PAC,L,8475791
Ryan Nugent-Hopkins,REB,L,8476454
Shea Weber,REB,D,8470642
Kevin Shattenkirk,BUC,D,8474031
Duncan Keith,BUC,D,8470281
Drew Doughty,BUC,D,8474563
Oliver Ekman-Larsson,PAC,D,8475171
Justin Faulk,REB,D,8475753
Brayden Schenn,REB,L,8475170
Jake Gardiner,REB,D,8474581
Mika Zibanejad,REB,C,8476459
Jonathan Bernier,BUC,G,8473541
Robin Lehner,REB,G,8475215
Jacob Markstrom,REB,G,8474593
Pekka Rinne,REB,G,8471469
Cory Schneider,REB,G,8471239
Mike Smith,REB,G,8469608
Joe Pavelski,SUN,R,8470794
Mikael Granlund,SUN,R,8475798
Jonathan Huberdeau,SUN,L,8476456
J.T. Miller,SUN,L,8476468
Max Pacioretty,SUN,L,8474157
Brad Marchand,SUN,L,8473419
Paul Stastny,SUN,C,8471669
Alex Pietrangelo,SUN,D,8474565
Nicklas Backstrom,SUN,C,8473563
Brent Burns,SUN,D,8470613
James van Riemsdyk,BUC,L,8474037
Victor Hedman,RAM,D,8475167
T.J. Brodie,SUN,D,8474673
Nino Niederreiter,SUN,L,8475799
Tyson Barrie,RAM,D,8475197
Braden Holtby,SUN,G,8474651
Jimmy Howard,BUC,G,8470657
Jonathan Quick,SUN,G,8471734
Ryan McDonagh,RAM,D,8474151
Frederik Andersen,SUN,G,8475883
Jason Zucker,RAM,L,8475722
Johnny Gaudreau,PAC,L,8476346
Torey Krug,REB,D,8476792
Tyler Johnson,BUC,L,8474870
Brendan Gallagher,BUC,R,8475848
Johan Gustafsson,PAC,G,8475860
Reilly Smith,SUN,R,8475191
Vladimir Tarasenko,SUN,R,8475765
Rickard Rakell,PAC,L,8476483
Chris Kreider,REB,L,8475184
Jakob Silfverberg,BUC,R,8475164
Alex Galchenyuk,SUN,C,8476851
Dougie Hamilton,PAC,D,8476462
Jake Allen,SUN,G,8474596
Eddie Lack,PAC,G,8475663
Seth Jones,SUN,D,8477495
Matt Dumba,REB,D,8476856
Tomas Hertl,SUN,C,8476881
Aleksander Barkov,SUN,C,8477493
Nathan MacKinnon,RAM,C,8477492
Sean Monahan,SUN,C,8477497
Elias Lindholm,BUC,R,8477496
Filip Forsberg,REB,L,8476887
Valeri Nichushkin,BUC,R,8477501
Morgan Rielly,BUC,D,8476853
Antti Raanta,RAM,G,8477293
Jake Muzzin,RAM,D,8474162
Ondrej Palat,RAM,L,8476292
Martin Jones,BUC,G,8474889
Jacob Trouba,SUN,D,8476885
Cam Talbot,BUC,G,8475660
John Gibson,RAM,G,8476434
Teuvo Teravainen,RAM,R,8476882
Anders Lee,RAM,L,8475314
Mark Stone,PAC,R,8475913
Anthony Duclair,PAC,R,8477407
Darcy Kuemper,REB,G,8475311
Sam Reinhart,BUC,R,8477933
Andre Burakovsky,PAC,L,8477444
Leon Draisaitl,SUN,L,8477934
Connor Hellebuyck,SUN,G,8476945
Laurent Brossoit,SUN,G,8476316
Antoine Bibeau,REB,G,8477312
Jon Gillies,BUC,G,8476903
Shayne Gostisbehere,REB,D,8476906
Linus Ullmark,REB,G,8476999
Mikko Koskinen,PAC,G,8475156
Philipp Grubauer,REB,G,8475831
Kristers Gudlevskis,REB,G,8477356
Jonathan Drouin,BUC,L,8477494
Aaron Ekblad,RAM,D,8477932
Michael Hutchinson,RAM,G,8474636
Petr Mrazek,BUC,G,8475852
Keith Kinkaid,PAC,G,8476234
Andrei Vasilevskiy,PAC,G,8476883
Kerby Rychel,RAM,L,8477510
Evgeny Kuznetsov,BUC,C,8475744
Dylan Strome,SUN,C,8478440
Kyle Connor,SUN,L,8478398
Denis Gurianov,SUN,R,8478495
Samuel Montembeault,SUN,G,8478470
Thomas Chabot,SUN,D,8478469
Jack Roslovic,SUN,R,8478458
Noah Juulsen,SUN,D,8478454
David Pastrnak,RAM,R,8477956
Connor McDavid,REB,C,8478402
Jack Eichel,RAM,C,8478403
Mitchell Marner,BUC,R,8478483
Noah Hanifin,BUC,D,8478396
Ivan Provorov,RAM,D,8478500
Mikko Rantanen,PAC,R,8478420
Nikita Kucherov,RAM,R,8476453
Rasmus Ristolainen,BUC,D,8477499
Malcolm Subban,BUC,G,8476876
Max Domi,PAC,C,8477503
John Klingberg,RAM,D,8475906
Artemi Panarin,REB,L,8478550
Colton Parayko,SUN,D,8476892
Mike Hoffman,BUC,L,8474884
Oliver Bjorkstrand,REB,R,8477416
Madison Bowey,REB,D,8477474
Viktor Arvidsson,BUC,R,8478042
Oscar Klefbom,SUN,D,8476472
Pavel Buchnevich,PAC,R,8477402
Adrian Kempe,SUN,C,8477960
Brayden Point,BUC,C,8478010
Ben Hutton,RAM,D,8477018
Zane McIntyre,REB,G,8475876
Andreas Johnsson,PAC,L,8477341
Andreas Athanasiou,SUN,C,8476960
Jimmy Vesey,BUC,L,8476918
Mark Giordano,REB,D,8470966
Evander Kane,BUC,L,8475169
Sean Couturier,BUC,C,8476461
Nikolaj Ehlers,SUN,R,8477940
Dylan Larkin,PAC,C,8477946
Darnell Nurse,SUN,D,8477498
Sam Bennett,REB,L,8477935
Robby Fabbri,RAM,L,8477952
Jordan Binnington,REB,G,8476412
Mike Matheson,REB,D,8476875
Bo Horvat,PAC,C,8477500
Daniel Sprong,BUC,R,8478466
Magnus Hellberg,PAC,G,8476433
Nick Ritchie,PAC,L,8477941
Shea Theodore,RAM,D,8477447
Jake Virtanen,RAM,R,8477937
Matt Puempel,REB,L,8476477
Auston Matthews,REB,C,8479318
Jesse Puljujarvi,REB,R,8479344
Patrik Laine,RAM,R,8479339
Pierre-Luc Dubois,SUN,C,8479400
Matthew Tkachuk,BUC,L,8479314
Olli Juolevi,BUC,D,8479355
Alexander Nylander,PAC,R,8479423
Clayton Keller,REB,R,8479343
Logan Brown,RAM,C,8479366
Mikhail Sergachev,SUN,D,8479410
Jakob Chychrun,REB,D,8479345
Kieffer Bellows,PAC,L,8479356
Tyson Jost,REB,C,8479370
Carter Hart,RAM,G,8479394
Julien Gauthier,SUN,R,8479328
Max Jones,REB,L,8479368
Dennis Cholowski,PAC,D,8479395
Charlie McAvoy,BUC,D,8479325
Dante Fabbro,SUN,D,8479371
Jake Bean,SUN,D,8479402
Michael McLeod,REB,C,8479415
Riley Tufte,PAC,L,8479362
Alex DeBrincat,SUN,L,8479337
Luke Kunin,SUN,R,8479316
Tyler Benson,REB,L,8479347
Yegor Korshkov,PAC,R,8479510
Henrik Borgstrom,BUC,C,8479404
Brett Howden,RAM,C,8479353
Louis Domingue,BUC,G,8475839
Nikita Zaitsev,BUC,D,8479458
Christian Dvorak,RAM,C,8477989
Igor Shesterkin,PAC,G,8478048
Sebastian Aho,BUC,C,8478427
Jaccob Slavin,PAC,D,8476958
Tyler Motte,RAM,L,8477353
Joonas Korpisalo,SUN,G,8476914
Jared Coreau,PAC,G,8477225
Esa Lindell,PAC,D,8476902
Vincent Trocheck,RAM,C,8476389
Anton Forsberg,REB,G,8476341
Alex Lyon,PAC,G,8479312
J.T. Compher,SUN,R,8477456
Cal Petersen,PAC,G,8477361
Jake Guentzel,SUN,R,8477404
Alexander Radulov,BUC,R,8471228
Zach Werenski,REB,D,8478460
Lawson Crouse,BUC,L,8478474
Anthony Mantha,SUN,R,8477511
Matt Murray,BUC,G,8476899
Anthony Beauvillier,PAC,L,8478463
Nick Schmaltz,SUN,C,8477951
Pavel Zacha,BUC,C,8478401
Timo Meier,RAM,L,8478414
William Nylander,REB,R,8477939
Mathew Barzal,BUC,C,8478445
Jason Dickinson,REB,C,8477450
Joel Eriksson Ek,RAM,C,8478493
Travis Konecny,RAM,R,8478439
Colin White,RAM,C,8478400
Brady Skjei,SUN,D,8476869
Brock Boeser,PAC,R,8478444
Kevin Fiala,REB,L,8477942
Nikolay Goldobin,RAM,R,8477958
Joshua Ho-Sang,BUC,R,8477959
Kasperi Kapanen,SUN,R,8477953
Michael McCarron,RAM,R,8477446
