G
--------------------------------
Braden Holtby.... 124 ██████████ 
Connor Hellebuyck 122 ██████████ 
Frederik Andersen 121 ██████████ 
Jake Allen....... 120 ██████████ 
Henrik Lundqvist. 119 █████████░ 
Marek Mazanec....  58 ████░░░░░░ 
Jonathan Quick...  20 █░░░░░░░░░ 

D
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Brent Burns...... 100 ██████████ [3|6|2|3|6|2|222]
Tyson Barrie.....  91 █████████░ [2|3|2|2|2|0|2]
Seth Jones.......  85 ████████░░ [2|2|0|0|4|3|412]
Cam Fowler.......  78 ███████░░░ [3|3|0|4|5|1|460]
Colton Parayko...  77 ███████░░░ [3|2|6|2|7|2|414]
Alex Pietrangelo.  69 ██████░░░░ [3|2|0|2|5|4|718]
Darnell Nurse....  68 ██████░░░░ [3|2|2|4|4|1|627]
Dustin Byfuglien.  64 ██████░░░░ [3|2|0|7|3|2|555]
Brandon Carlo....  63 ██████░░░░ [3|2|2|1|6|0|611]
TJ Brodie........  46 ████░░░░░░ [3|1|0|0|4|3|734]
Jake Muzzin......  35 ███░░░░░░░ [2|0|4|5|3|0|235]
Oscar Klefbom....  30 ███░░░░░░░ [3|1|0|1|6|0|341]
Damon Severson...   9 ░░░░░░░░░░ [2|0|2|3|1|1|0]
Mikhail Sergachev   2 ░░░░░░░░░░ [1|0|0|0|2|0|0]

C
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Paul Stastny......... 100 ██████████ [3|6|2|2|2|1|438]
Leon Draisaitl.......  90 █████████░ [3|5|0|2|2|1|47]
Aleksander Barkov....  86 ████████░░ [2|3|0|0|0|1|168]
Alexander Wennberg...  85 ████████░░ [2|3|0|1|0|0|91]
Alex Galchenyuk......  73 ███████░░░ [2|2|4|1|0|0|66]
Anze Kopitar.........  64 ██████░░░░ [2|2|0|1|3|1|100]
Victor Rask..........  63 ██████░░░░ [2|2|0|2|1|0|106]
Derick Brassard......  61 ██████░░░░ [3|3|0|5|0|0|22]
Nicklas Backstrom....  59 █████░░░░░ [2|2|0|3|0|0|21]
Ryan Kesler..........  54 █████░░░░░ [3|2|0|7|4|0|541]
Tomas Hertl..........  31 ███░░░░░░░ [3|1|4|9|0|1|8]
Claude Giroux........  27 ██░░░░░░░░ [2|1|0|4|0|0|0]
Riley Sheahan........  24 ██░░░░░░░░ [3|1|4|1|2|0|166]
Sean Monahan.........  22 ██░░░░░░░░ [3|1|2|1|2|2|233]
Chris Tierney........  17 █░░░░░░░░░ [3|1|0|0|2|1|241]
Jason Spezza.........  10 █░░░░░░░░░ [2|0|0|2|0|4|273]
Mikael Granlund......   8 ░░░░░░░░░░ [2|0|0|4|1|1|246]
Vladislav Namestnikov   5 ░░░░░░░░░░ [2|0|0|2|0|1|0]
Zemgus Girgensons....   3 ░░░░░░░░░░ [2|0|0|3|1|0|0]

L
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Brad Marchand..... 100 ██████████ [3|7|4|1|1|4|396]
Alex Killorn......  94 █████████░ [2|3|0|5|1|2|83]
J.T. Miller.......  73 ███████░░░ [3|2|4|7|3|1|368]
Max Pacioretty....  59 █████░░░░░ [2|1|2|5|1|1|106]
James van Riemsdyk  48 ████░░░░░░ [2|1|0|3|0|1|0]
Kyle Connor.......  36 ███░░░░░░░ [3|1|2|1|1|1|0]
Johnny Gaudreau...  31 ███░░░░░░░ [3|1|0|1|2|0|3]
Adam Henrique.....  25 ██░░░░░░░░ [2|0|0|1|4|1|305]
Tobias Rieder.....  17 █░░░░░░░░░ [1|0|0|0|0|0|218]
Matt Nieto........   8 ░░░░░░░░░░ [3|0|0|0|3|1|167]

R
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Joe Pavelski......  96 █████████░ [3|5|2|7|6|2|17]
Vladimir Tarasenko  93 █████████░ [3|5|0|2|3|2|63]
Jordan Eberle.....  86 ████████░░ [3|4|2|1|1|1|8]
Jesper Fast.......  71 ███████░░░ [3|2|4|6|0|1|461]
Bobby Ryan........  62 ██████░░░░ [3|2|0|4|2|1|0]
Jarome Iginla.....  61 ██████░░░░ [2|1|2|7|0|2|0]
Loui Eriksson.....  39 ███░░░░░░░ [2|1|0|0|1|0|112]
Nikolaj Ehlers....  23 ██░░░░░░░░ [3|1|0|1|0|0|16]
Reilly Smith......  14 █░░░░░░░░░ [2|0|0|0|1|2|219]
Jeff Carter.......  12 █░░░░░░░░░ [2|0|0|3|2|1|186]
Nino Niederreiter.   9 ░░░░░░░░░░ [2|0|0|8|0|0|0]
Hudson Fasching...   2 ░░░░░░░░░░ [2|0|0|2|0|0|78]

