G
--------------------------------
Jake Allen....... 181 ██████████ 
Henrik Lundqvist. 178 █████████░ 
Frederik Andersen 127 ███████░░░ 
Jimmy Howard..... 120 ██████░░░░ 
Braden Holtby.... 118 ██████░░░░ 
Connor Hellebuyck  55 ███░░░░░░░ 

D
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Dustin Byfuglien.  98 █████████░ [2|2|2|9|4|1|128]
Brent Burns......  93 █████████░ [3|3|2|1|8|0|672]
Alex Pietrangelo.  86 ████████░░ [3|2|2|3|6|1|507]
Cam Fowler.......  75 ███████░░░ [3|2|0|1|1|1|836]
Damon Severson...  69 ██████░░░░ [3|2|0|1|5|1|172]
Seth Jones.......  66 ██████░░░░ [2|1|0|1|4|1|427]
Darnell Nurse....  51 █████░░░░░ [3|1|2|8|3|0|477]
Tyson Barrie.....  40 ████░░░░░░ [3|1|0|5|1|0|170]
Jake Muzzin......  36 ███░░░░░░░ [3|0|2|4|5|3|708]
Brandon Carlo....  33 ███░░░░░░░ [2|0|0|6|7|0|497]
TJ Brodie........  21 ██░░░░░░░░ [4|0|2|1|3|2|751]
Colton Parayko...  20 ██░░░░░░░░ [3|0|2|1|8|0|353]
Oscar Klefbom....  13 █░░░░░░░░░ [3|0|0|1|6|1|251]
Mikhail Sergachev  11 █░░░░░░░░░ [2|0|0|7|0|1|0]
Thomas Chabot....   1 ░░░░░░░░░░ [1|0|0|1|0|0|0]

C
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Claude Giroux........  98 █████████░ [4|6|0|1|1|2|19]
Victor Rask..........  93 █████████░ [3|4|0|1|0|2|326]
Jason Spezza.........  84 ████████░░ [3|3|0|0|1|2|283]
Anze Kopitar.........  70 ███████░░░ [3|2|2|3|3|1|676]
Alex Galchenyuk......  69 ██████░░░░ [4|3|2|0|3|3|13]
Aleksander Barkov....  62 ██████░░░░ [3|2|0|1|4|3|254]
Vladislav Namestnikov  57 █████░░░░░ [3|2|2|1|2|1|11]
Tomas Hertl..........  54 █████░░░░░ [3|2|0|2|0|1|11]
Alexander Wennberg...  51 █████░░░░░ [2|1|2|2|4|1|0]
Ryan Kesler..........  43 ████░░░░░░ [3|1|7|5|2|0|815]
Mikael Granlund......  38 ███░░░░░░░ [4|2|0|2|2|1|541]
Sean Monahan.........  36 ███░░░░░░░ [4|2|0|3|2|2|241]
Paul Stastny.........  31 ███░░░░░░░ [3|1|4|3|2|3|298]
Zemgus Girgensons....  30 ███░░░░░░░ [2|1|0|2|0|0|45]
Nicklas Backstrom....  28 ██░░░░░░░░ [3|1|2|2|1|4|171]
Leon Draisaitl.......  23 ██░░░░░░░░ [3|1|0|0|0|4|2]
Dylan Strome.........  15 █░░░░░░░░░ [3|1|0|3|1|1|0]
Chris Tierney........   8 ░░░░░░░░░░ [3|0|0|1|3|1|447]
Derick Brassard......   7 ░░░░░░░░░░ [2|0|0|1|0|2|10]
Riley Sheahan........   2 ░░░░░░░░░░ [3|0|0|0|0|1|156]

L
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Brad Marchand.....  85 ████████░░ [2|2|2|2|1|2|220]
Max Pacioretty....  80 ████████░░ [4|4|4|4|0|1|164]
J.T. Miller.......  70 ███████░░░ [3|2|2|5|3|1|144]
James van Riemsdyk  65 ██████░░░░ [3|2|2|2|1|1|0]
Alex Killorn......  59 █████░░░░░ [3|2|0|6|0|0|84]
Adam Henrique.....  50 █████░░░░░ [3|1|2|4|0|3|495]
Tobias Rieder.....  45 ████░░░░░░ [4|2|0|3|2|1|322]
Johnny Gaudreau...  41 ████░░░░░░ [4|2|0|1|1|0|23]
Matt Nieto........  14 █░░░░░░░░░ [2|0|0|3|0|1|445]
Kyle Connor.......   6 ░░░░░░░░░░ [2|0|0|0|1|1|0]

R
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Jeff Carter.......  91 █████████░ [3|4|2|1|1|0|352]
Joe Pavelski......  76 ███████░░░ [3|2|8|6|5|2|131]
Nino Niederreiter.  70 ███████░░░ [4|3|2|5|1|1|0]
Vladimir Tarasenko  67 ██████░░░░ [3|2|0|1|2|2|212]
Loui Eriksson.....  61 ██████░░░░ [4|3|0|0|0|0|250]
Jordan Eberle.....  50 █████░░░░░ [3|2|0|1|2|0|17]
Bobby Ryan........  43 ████░░░░░░ [2|1|2|3|1|0|10]
Jesper Fast.......  39 ███░░░░░░░ [3|1|0|5|3|3|286]
Nikolaj Ehlers....  35 ███░░░░░░░ [2|1|0|2|0|0|0]
Reilly Smith......  30 ███░░░░░░░ [3|1|0|1|1|4|145]
Jarome Iginla.....  26 ██░░░░░░░░ [3|0|23|6|1|1|0]

