G
--------------------------------
Frederik Andersen 178 ██████████ 
Jake Allen....... 125 ███████░░░ 
Braden Holtby.... 120 ███████░░░ 
Henrik Lundqvist. 119 ███████░░░ 
Jimmy Howard.....  90 █████░░░░░ 
Connor Hellebuyck  83 ████░░░░░░ 
Marek Mazanec....  25 █░░░░░░░░░ 

D
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Damon Severson..  99 █████████░ [3|4|2|4|1|1|34]
Dustin Byfuglien  88 ████████░░ [4|2|4|9|8|2|640]
Cam Fowler......  82 ████████░░ [3|2|2|0|3|0|614]
Brent Burns.....  66 ██████░░░░ [3|1|0|4|12|2|351]
Jake Muzzin.....  52 █████░░░░░ [4|1|0|13|10|0|692]
Tyson Barrie....  49 ████░░░░░░ [2|1|0|0|2|1|78]
TJ Brodie.......  46 ████░░░░░░ [3|1|0|3|3|3|304]
Colton Parayko..  42 ████░░░░░░ [3|1|0|1|4|1|542]
Oscar Klefbom...  34 ███░░░░░░░ [3|1|0|2|5|1|195]
Brandon Carlo...  31 ███░░░░░░░ [3|0|4|2|8|1|673]
Alex Pietrangelo  29 ██░░░░░░░░ [3|0|2|2|4|3|681]
Darnell Nurse...   8 ░░░░░░░░░░ [3|0|2|8|2|0|190]

C
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Victor Rask..........  92 █████████░ [3|4|0|0|1|1|81]
Claude Giroux........  90 █████████░ [4|5|2|5|0|1|36]
Tomas Hertl..........  88 ████████░░ [3|3|4|6|3|3|60]
Alexander Wennberg...  83 ████████░░ [3|3|0|8|3|2|8]
Mikael Granlund......  78 ███████░░░ [3|3|0|1|3|0|259]
Alex Galchenyuk......  77 ███████░░░ [3|3|0|4|1|0|0]
Derick Brassard......  67 ██████░░░░ [3|2|2|3|0|2|33]
Nicklas Backstrom....  65 ██████░░░░ [3|2|2|0|0|1|307]
Ryan Kesler..........  53 █████░░░░░ [3|1|4|3|2|2|646]
Anze Kopitar.........  52 █████░░░░░ [4|2|0|6|4|3|636]
Vladislav Namestnikov  43 ████░░░░░░ [4|2|2|2|0|0|6]
Zemgus Girgensons....  40 ████░░░░░░ [4|2|0|5|2|0|57]
Sean Monahan.........  32 ███░░░░░░░ [3|1|2|1|1|1|50]
Paul Stastny.........  25 ██░░░░░░░░ [3|0|6|1|2|2|273]
Riley Sheahan........  23 ██░░░░░░░░ [4|1|2|1|4|1|120]
Chris Tierney........  15 █░░░░░░░░░ [3|0|0|4|4|2|326]
Aleksander Barkov....   7 ░░░░░░░░░░ [4|0|0|1|1|1|401]
Leon Draisaitl.......   3 ░░░░░░░░░░ [3|0|0|1|2|1|25]
Jason Spezza.........   0 ░░░░░░░░░░ [1|0|0|0|0|0|0]

L
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
J.T. Miller.......  97 █████████░ [3|5|0|3|4|3|199]
Adam Henrique.....  83 ████████░░ [3|3|2|3|3|3|556]
Johnny Gaudreau...  80 ████████░░ [3|4|0|1|0|1|0]
James van Riemsdyk  68 ██████░░░░ [4|3|2|4|2|2|0]
Tobias Rieder.....  67 ██████░░░░ [3|2|0|1|3|2|715]
Max Pacioretty....  65 ██████░░░░ [3|2|2|5|1|1|95]
Alex Killorn......  62 ██████░░░░ [4|2|6|8|2|0|44]
Brad Marchand.....  57 █████░░░░░ [3|1|4|4|1|2|482]
Kyle Connor.......  30 ███░░░░░░░ [3|1|0|0|1|2|0]

R
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Joe Pavelski......  92 █████████░ [3|4|0|3|4|1|114]
Nikolaj Ehlers....  68 ██████░░░░ [4|2|4|2|2|4|3]
Reilly Smith......  63 ██████░░░░ [4|2|0|6|1|3|519]
Vladimir Tarasenko  60 ██████░░░░ [3|2|0|0|0|2|35]
Bobby Ryan........  58 █████░░░░░ [3|2|0|0|2|1|7]
Nino Niederreiter.  55 █████░░░░░ [3|2|0|1|0|1|0]
Jeff Carter.......  45 ████░░░░░░ [4|1|2|3|2|2|544]
Jesper Fast.......  38 ███░░░░░░░ [3|1|0|4|0|1|255]
Loui Eriksson.....  17 █░░░░░░░░░ [3|0|0|0|2|3|149]
Hudson Fasching...  15 █░░░░░░░░░ [4|0|2|8|1|0|161]
Jordan Eberle.....   8 ░░░░░░░░░░ [3|0|0|0|1|2|1]
Jarome Iginla.....   7 ░░░░░░░░░░ [2|0|0|1|0|1|0]

