G
--------------------------------
Braden Holtby.... 183 ██████████ 
Henrik Lundqvist. 180 ██████████ 
Frederik Andersen 175 █████████░ 
Connor Hellebuyck 156 ████████░░ 
Jake Allen....... 152 ████████░░ 
Jimmy Howard.....  58 ███░░░░░░░ 

D
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Damon Severson..  91 █████████░ [3|3|2|2|3|1|6]
Dustin Byfuglien  83 ████████░░ [4|2|4|12|7|3|615]
Brandon Carlo...  80 ████████░░ [4|2|2|3|9|1|1051]
Alex Pietrangelo  78 ███████░░░ [4|2|2|1|8|1|965]
Darnell Nurse...  57 █████░░░░░ [4|1|4|12|2|2|209]
Jake Muzzin.....  48 ████░░░░░░ [3|0|6|8|3|0|525]
Oscar Klefbom...  41 ████░░░░░░ [4|1|0|6|10|1|379]
Colton Parayko..  40 ████░░░░░░ [4|1|0|2|6|1|828]
Cam Fowler......  34 ███░░░░░░░ [4|1|0|4|7|1|425]
Brent Burns.....  30 ███░░░░░░░ [3|1|0|3|1|0|188]
TJ Brodie.......  18 █░░░░░░░░░ [4|0|2|6|5|1|453]
Tyson Barrie....   6 ░░░░░░░░░░ [4|0|0|4|6|1|23]

C
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Alexander Wennberg...  98 █████████░ [3|5|0|2|3|0|0]
Ryan Kesler..........  95 █████████░ [4|6|11|6|1|0|258]
Nicklas Backstrom....  86 ████████░░ [3|4|0|3|1|1|98]
Alex Galchenyuk......  79 ███████░░░ [3|3|2|0|3|0|6]
Tomas Hertl..........  73 ███████░░░ [3|2|2|6|0|2|105]
Claude Giroux........  67 ██████░░░░ [3|2|0|2|0|2|69]
Jason Spezza.........  64 ██████░░░░ [3|2|2|0|2|0|76]
Mikael Granlund......  58 █████░░░░░ [2|1|0|2|0|2|174]
Paul Stastny.........  56 █████░░░░░ [4|2|2|2|1|1|573]
Leon Draisaitl.......  52 █████░░░░░ [4|2|2|3|2|3|13]
Aleksander Barkov....  36 ███░░░░░░░ [4|1|0|2|1|6|350]
Chris Tierney........  33 ███░░░░░░░ [3|1|0|3|0|1|188]
Riley Sheahan........  29 ██░░░░░░░░ [3|1|0|1|2|1|20]
Zemgus Girgensons....  27 ██░░░░░░░░ [4|1|4|6|2|1|66]
Sean Monahan.........  24 ██░░░░░░░░ [4|1|2|2|0|1|58]
Derick Brassard......  20 ██░░░░░░░░ [3|0|2|7|0|4|0]
Victor Rask..........  12 █░░░░░░░░░ [3|0|2|2|1|2|84]
Anze Kopitar.........   9 ░░░░░░░░░░ [3|0|0|5|1|0|284]
Vladislav Namestnikov   8 ░░░░░░░░░░ [4|0|0|1|3|2|4]
Dylan Strome.........   6 ░░░░░░░░░░ [3|0|0|0|1|2|10]

L
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
James van Riemsdyk  89 ████████░░ [3|4|2|4|4|0|0]
Brad Marchand.....  87 ████████░░ [4|4|6|3|2|4|718]
J.T. Miller.......  84 ████████░░ [4|4|0|7|1|3|337]
Tobias Rieder.....  59 █████░░░░░ [2|1|0|0|5|1|118]
Max Pacioretty....  49 ████░░░░░░ [3|1|2|2|2|3|226]
Alex Killorn......  40 ████░░░░░░ [4|1|6|6|3|1|80]
Kyle Connor.......  29 ██░░░░░░░░ [4|1|2|0|1|4|0]
Johnny Gaudreau...  24 ██░░░░░░░░ [4|1|0|0|1|1|16]
Adam Henrique.....  22 ██░░░░░░░░ [3|0|4|5|4|0|367]
Matt Nieto........  21 ██░░░░░░░░ [1|0|0|5|0|1|50]

R
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Nikolaj Ehlers....  93 █████████░ [4|5|4|2|3|0|0]
Reilly Smith......  79 ███████░░░ [4|3|2|3|1|9|640]
Jeff Carter.......  67 ██████░░░░ [3|2|0|3|1|0|295]
Jesper Fast.......  64 ██████░░░░ [4|2|6|8|2|2|291]
Jordan Eberle.....  48 ████░░░░░░ [4|2|0|0|2|3|0]
Vladimir Tarasenko  47 ████░░░░░░ [4|2|0|0|1|2|21]
Joe Pavelski......  41 ████░░░░░░ [3|1|0|10|2|0|28]
Bobby Ryan........  40 ████░░░░░░ [3|1|2|4|3|0|0]
Jarome Iginla.....  28 ██░░░░░░░░ [4|1|2|5|0|0|0]
Loui Eriksson.....  17 █░░░░░░░░░ [4|0|0|1|3|2|245]
Nino Niederreiter.   9 ░░░░░░░░░░ [2|0|0|3|0|1|0]

