G
--------------------------------
Connor Hellebuyck 185 ██████████ 
Jimmy Howard..... 164 █████████░ 
Frederik Andersen 153 ████████░░ 
Braden Holtby.... 121 ██████░░░░ 
Jake Allen.......  85 ████░░░░░░ 
Henrik Lundqvist.  66 ███░░░░░░░ 

D
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Brent Burns.....  93 █████████░ [3|3|0|7|4|2|349]
Damon Severson..  85 ████████░░ [3|2|4|6|1|1|0]
Alex Pietrangelo  75 ███████░░░ [3|1|4|3|4|3|625]
Cam Fowler......  69 ██████░░░░ [3|2|0|0|3|0|365]
TJ Brodie.......  67 ██████░░░░ [2|1|0|0|3|2|258]
Dustin Byfuglien  65 ██████░░░░ [4|0|9|9|8|5|617]
Colton Parayko..  58 █████░░░░░ [3|1|0|2|3|3|473]
Jake Muzzin.....  52 █████░░░░░ [4|1|2|8|8|1|422]
Darnell Nurse...  44 ████░░░░░░ [3|0|5|9|2|2|255]
Brandon Carlo...  36 ███░░░░░░░ [4|0|7|4|3|1|456]
Tyson Barrie....  33 ███░░░░░░░ [3|1|0|0|2|1|158]
Jacob Trouba....  28 ██░░░░░░░░ [2|0|0|1|7|1|518]
Oscar Klefbom...   7 ░░░░░░░░░░ [3|0|0|1|3|0|265]

C
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Alex Galchenyuk......  94 █████████░ [4|6|2|2|1|2|0]
Aleksander Barkov....  82 ████████░░ [2|2|0|2|0|2|247]
Alexander Wennberg...  76 ███████░░░ [3|3|0|3|0|0|30]
Vladislav Namestnikov  73 ███████░░░ [3|2|4|2|2|0|0]
Mikael Granlund......  68 ██████░░░░ [3|2|2|3|3|1|457]
Ryan Kesler..........  63 ██████░░░░ [3|2|0|5|5|0|412]
Claude Giroux........  61 ██████░░░░ [3|2|2|0|2|0|7]
Anze Kopitar.........  58 █████░░░░░ [3|2|0|4|0|2|278]
Victor Rask..........  55 █████░░░░░ [3|2|0|0|0|3|80]
Chris Tierney........  53 █████░░░░░ [3|2|0|3|2|0|287]
Sean Monahan.........  35 ███░░░░░░░ [2|1|0|0|1|2|40]
Tomas Hertl..........  27 ██░░░░░░░░ [3|1|0|3|1|1|263]
Derick Brassard......  23 ██░░░░░░░░ [4|1|0|2|2|2|10]
Riley Sheahan........  19 █░░░░░░░░░ [3|0|2|5|1|0|167]
Nicklas Backstrom....  18 █░░░░░░░░░ [3|0|2|2|1|0|143]
Paul Stastny.........  10 █░░░░░░░░░ [3|0|0|1|1|1|379]
Zemgus Girgensons....   6 ░░░░░░░░░░ [3|0|0|1|2|1|119]
Leon Draisaitl.......   2 ░░░░░░░░░░ [3|0|0|0|0|1|2]

L
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Max Pacioretty....  87 ████████░░ [4|4|0|3|3|6|556]
Johnny Gaudreau...  82 ████████░░ [2|2|0|0|0|5|0]
J.T. Miller.......  69 ██████░░░░ [3|2|2|3|4|1|251]
Adam Henrique.....  64 ██████░░░░ [3|2|0|5|2|0|175]
Brad Marchand.....  59 █████░░░░░ [4|2|0|0|2|2|262]
James van Riemsdyk  41 ████░░░░░░ [3|1|2|4|1|1|0]
Tobias Rieder.....  30 ███░░░░░░░ [3|1|0|0|0|0|121]
Kyle Connor.......  25 ██░░░░░░░░ [4|1|0|0|3|1|0]
Alex Killorn......   2 ░░░░░░░░░░ [3|0|0|2|0|1|0]

R
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Vladimir Tarasenko 100 ██████████ [3|6|0|0|0|3|9]
Jordan Eberle.....  80 ████████░░ [3|4|0|1|1|0|0]
Nikolaj Ehlers....  77 ███████░░░ [4|5|0|2|1|4|10]
Jeff Carter.......  71 ███████░░░ [4|4|2|6|0|2|221]
Nino Niederreiter.  68 ██████░░░░ [3|3|2|5|0|0|0]
Joe Pavelski......  62 ██████░░░░ [3|2|2|2|1|2|122]
Jesper Fast.......  59 █████░░░░░ [3|2|0|1|1|4|325]
Loui Eriksson.....  54 █████░░░░░ [3|2|0|0|1|0|207]
Reilly Smith......  14 █░░░░░░░░░ [2|0|0|3|1|0|218]
Jarome Iginla.....   9 ░░░░░░░░░░ [3|0|0|1|1|3|0]
Bobby Ryan........   7 ░░░░░░░░░░ [4|0|0|3|3|1|10]

