G
--------------------------------
Henrik Lundqvist. 184 ██████████ 
Jake Allen....... 180 ██████████ 
Braden Holtby.... 179 █████████░ 
Frederik Andersen 178 █████████░ 
Connor Hellebuyck 177 █████████░ 
Jimmy Howard..... 117 ██████░░░░ 
Marek Mazanec....  60 ███░░░░░░░ 

D
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Oscar Klefbom...  94 █████████░ [4|4|0|3|3|1|532]
Colton Parayko..  83 ████████░░ [3|2|0|6|6|1|550]
Dustin Byfuglien  81 ████████░░ [4|2|6|10|5|3|537]
Alex Pietrangelo  72 ███████░░░ [3|1|2|2|10|2|681]
Tyson Barrie....  69 ██████░░░░ [4|2|4|1|6|1|118]
Brent Burns.....  64 ██████░░░░ [4|2|0|1|5|2|534]
Darnell Nurse...  46 ████░░░░░░ [4|1|2|9|7|2|361]
Cam Fowler......  43 ████░░░░░░ [3|1|0|1|5|0|450]
Jacob Trouba....  40 ████░░░░░░ [4|0|4|9|12|4|773]
Jake Muzzin.....  35 ███░░░░░░░ [4|1|0|7|5|0|668]
TJ Brodie.......  32 ███░░░░░░░ [5|1|2|1|6|4|515]
Damon Severson..  22 ██░░░░░░░░ [4|1|0|3|5|0|65]
Brandon Carlo...  17 █░░░░░░░░░ [2|0|0|1|3|0|563]

C
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Nicklas Backstrom.... 100 ██████████ [4|8|4|8|3|4|237]
Jake Guentzel........  98 █████████░ [1|2|0|4|0|0|0]
Leon Draisaitl.......  95 █████████░ [4|6|0|0|4|2|277]
Victor Rask..........  81 ████████░░ [3|3|0|0|0|4|27]
Ryan Kesler..........  68 ██████░░░░ [3|2|0|8|3|0|553]
Aleksander Barkov....  67 ██████░░░░ [4|3|0|5|3|1|382]
Vladislav Namestnikov  65 ██████░░░░ [4|3|2|0|0|1|2]
Jason Spezza.........  63 ██████░░░░ [4|3|0|2|2|1|98]
Alex Galchenyuk......  56 █████░░░░░ [3|2|0|2|1|1|0]
Mikael Granlund......  49 ████░░░░░░ [4|2|0|2|2|3|505]
Alexander Wennberg...  40 ████░░░░░░ [4|2|2|2|4|1|0]
Derick Brassard......  30 ███░░░░░░░ [3|1|0|3|1|5|14]
Paul Stastny.........  29 ██░░░░░░░░ [3|1|2|1|0|0|422]
Sean Monahan.........  27 ██░░░░░░░░ [5|2|2|4|1|2|26]
Chris Tierney........  24 ██░░░░░░░░ [4|1|0|1|3|2|477]
Claude Giroux........  22 ██░░░░░░░░ [3|1|0|2|0|2|7]
Riley Sheahan........  10 █░░░░░░░░░ [3|0|0|2|3|1|197]
Zemgus Girgensons....   6 ░░░░░░░░░░ [4|0|0|6|2|0|13]
Tomas Hertl..........   2 ░░░░░░░░░░ [2|0|0|0|1|0|106]
Dylan Strome.........   0 ░░░░░░░░░░ [1|0|0|0|0|0|0]

L
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
James van Riemsdyk 100 ██████████ [3|6|0|3|4|1|0]
Tobias Rieder.....  88 ████████░░ [2|2|0|0|2|1|312]
Johnny Gaudreau...  83 ████████░░ [1|1|0|0|0|0|0]
J.T. Miller.......  80 ████████░░ [4|3|0|9|1|4|439]
Alex Killorn......  77 ███████░░░ [4|3|2|5|2|0|22]
Adam Henrique.....  58 █████░░░░░ [4|2|2|5|4|0|289]
Brad Marchand.....  45 ████░░░░░░ [2|1|0|0|0|0|240]
Max Pacioretty....  42 ████░░░░░░ [3|1|2|2|1|3|272]
Matt Nieto........  36 ███░░░░░░░ [4|1|2|6|1|0|317]

R
--------------------------------[GP|P|PIM|Hits|BkS|TkA|SH]
Jeff Carter.......  98 █████████░ [4|6|2|6|3|2|570]
Nikolaj Ehlers....  79 ███████░░░ [4|4|0|3|2|2|0]
Joe Pavelski......  64 ██████░░░░ [4|3|0|3|6|2|34]
Jesper Fast.......  59 █████░░░░░ [4|2|2|5|4|3|435]
Vladimir Tarasenko  55 █████░░░░░ [3|2|0|1|2|0|0]
Nino Niederreiter.  50 █████░░░░░ [4|2|0|5|1|3|0]
Jordan Eberle.....  48 ████░░░░░░ [4|2|2|2|1|0|0]
Jarome Iginla.....  41 ████░░░░░░ [4|2|0|0|2|0|0]
Loui Eriksson.....  32 ███░░░░░░░ [3|1|0|0|2|1|317]
Bobby Ryan........  16 █░░░░░░░░░ [2|0|2|4|0|0|0]
Reilly Smith......  11 █░░░░░░░░░ [4|0|0|4|0|3|488]

